node,bioproject_id_META_PRJNA248737,bioproject_id_META_PRJNA269984,bioproject_id_META_PRJNA278886,bioproject_id_META_PRJNA288601,bioproject_id_META_PRJNA381936,bioproject_id_META_PRJNA448593,bioproject_id_META_PRJNA475142,bioproject_id_META_PRJNA475751,bioproject_id_META_PRJNA530580,bioproject_id_META_PRJNA530794,bioproject_id_META_PRJNA578285,bioproject_id_META_PRJNA587095,bioproject_id_META_PRJNA592372,bioproject_id_META_PRJNA658369,bioproject_id_META_PRJNA809394,bioproject_id_META_PRJNA824420,bioproject_id_META_PRJNA836696
root,0.0227943784595014,1.0121286391192644e-08,0.0949784153213974,0.0563002886534336,0.0185089711914812,0.0530973680556508,0.0028338126296148,0.1198051560781569,0.0394030648601603,0.0194741342791296,0.0206935716330101,1.0121286391192644e-08,0.0194599208640778,0.0734677528024572,0.338896963018617,0.1101648889157161,0.0101212929950226
n0,0.0064338614377005,2.856798851878164e-09,0.0269896619563099,0.0170647244112038,0.0052251719561285,0.0155395365531213,0.0007384669802154,0.0357677080691329,0.7030948413116321,0.0055281233204409,0.0058408265856815,2.856798851878164e-09,0.0054926793004623,0.0270871438886511,0.1109114128533875,0.0311479441083197,0.0031378915540141
n6161,0.0002419452951499,1.0742977750079098e-10,0.0010460027405431,0.0006128582451099,0.0001964621662204,0.0007677453461666,0.9871332752914046,0.0012716403664585,0.0007478466939369,0.0002067031553576,0.0013205683834194,1.0742977750079098e-10,0.0003643358098298,0.0008647213078967,0.0039483725512578,0.0011700926548724,0.0001074297775162
n00,8.708214229691525e-05,3.866669597128137e-11,0.0008179465577255,0.0031595993625809,7.295487889749292e-05,0.0015889753528508,9.99511906362356e-06,0.0053549796070915,0.9315199186922124,0.0001532349300817,7.905543143985564e-05,3.866669597128137e-11,7.434326726704525e-05,0.0162135150281102,0.0395701756309174,0.0005543138425948,0.000743910079536
SAMN11319316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n62,0.0002419452951499,1.0742977750079098e-10,0.0010460027405431,0.0006128582451099,0.0001964621662204,0.0007677453461666,0.9871332752914046,0.0012716403664585,0.0007478466939369,0.0002067031553576,0.0013205683834194,1.0742977750079098e-10,0.0003643358098298,0.0008647213078967,0.0039483725512578,0.0011700926548724,0.0001074297775162
n401401,0.0001028807883655,4.568167600847324e-11,0.0005048407819662,0.0002873302961076,8.354641094679525e-05,0.0006837329429295,0.9935174108800868,0.0005407314858934,0.0004557292723933,8.78950584521484e-05,0.0003247625227209,4.568167600847324e-11,0.0004310410063,0.0003481910571872,0.0020873172684127,0.0004989084608624,4.5681676011493066e-05
n1,8.708214229691525e-05,3.866669597128137e-11,0.0008179465577255,0.0031595993625809,7.295487889749292e-05,0.0015889753528508,9.99511906362356e-06,0.0053549796070915,0.9315199186922124,0.0001532349300817,7.905543143985564e-05,3.866669597128137e-11,7.434326726704525e-05,0.0162135150281102,0.0395701756309174,0.0005543138425948,0.000743910079536
n15,0.0001617188279815,7.180729124777557e-11,0.0012590552804829,0.0032387320331034,0.0001358279289349,0.003163687726593,1.856176553936335e-05,0.0090547729507218,0.9043366755498814,0.0002966748587716,0.0001468125539876,7.180729124777557e-11,0.0001380616706655,0.0203876634873611,0.056033719273918,0.0009048411361293,0.0007231948123132
n6262,0.0002454094672896,1.0896788179100291e-10,0.0010489069062875,0.0006154307957701,0.000199273573939,0.0006958386536018,0.9863845005297968,0.0012898468222856,0.0008496528175821,0.0002096625863215,0.0020468286134592,1.0896788179100291e-10,0.000305483577567,0.0008426203649573,0.0039710468210984,0.0011865303703072,0.0001089678818003
SAMN15868771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
n402,9.668256736673176e-05,4.2929509281630547e-11,0.0004804178481974,0.0002726598725681,7.851362089168054e-05,0.0006778316130183,0.9937908073628012,0.0005081542397483,0.0004345854394983,8.259967797439832e-05,0.000302713812485,4.2929509281630547e-11,0.0004323472072176,0.0003269194829335,0.002003852654997,0.0004689850051583,4.292950928441472e-05
SAMN11319305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n11,8.708214229691525e-05,3.866669597128137e-11,0.0008179465577255,0.0031595993625809,7.295487889749292e-05,0.0015889753528508,9.99511906362356e-06,0.0053549796070915,0.9315199186922124,0.0001532349300817,7.905543143985564e-05,3.866669597128137e-11,7.434326726704525e-05,0.0162135150281102,0.0395701756309174,0.0005543138425948,0.000743910079536
n13,4.827330761318677e-05,2.14345818760749e-11,0.0005768945347693,0.0004713318240929,3.946617498168512e-05,0.0002781989576915,5.540713053872481e-06,0.0008393301333889,0.988343171581072,5.066902690849517e-05,4.3823762936939e-05,2.14345818760749e-11,4.121161141704595e-05,0.0020608141821565,0.0068462459908796,0.0002492615872184,0.0001057665689501
n1515,0.0004480680313582,1.9895365325199135e-10,0.00326774938525,0.0036991592778258,0.0003818974997503,0.0122019846729108,5.142834283155696e-05,0.0303587557138264,0.803635102405235,0.0004924962492445,0.0004067678010177,1.9895365325199135e-10,0.0003825220708859,0.0152413508117119,0.1265321857261139,0.0022508024316828,0.0006497291824474
n5353,0.0013360260216656,5.932296866712983e-10,0.0056184258269494,0.0035499516507473,0.0010852468337136,0.0033576120047129,0.0001533463516789,0.0077446785661862,0.0819349411787358,0.0160095240059103,0.0012128791364134,5.932296866712983e-10,0.0011405844755644,0.7559979334007353,0.1137403979422612,0.0064678496508049,0.0006506017674606
n63,0.0002222206681353,9.867138998103963e-11,0.0009469893281772,0.0005549661708279,0.0001804434849391,0.0005991856596951,0.986939197579772,0.0011679678151391,0.0007912741835742,0.0001898513440778,0.0027107470912856,9.867138998103963e-11,0.0002527350514397,0.0007501465052651,0.0035213069394148,0.0010742965909265,9.867138998721048e-05
n400400,0.0120619795922093,5.355827015955138e-09,0.0502708816018695,0.0297962203627262,0.0097942942754817,0.0281522091358564,0.4381559908425578,0.0633966297532022,0.036351891757091,0.0103050231462144,0.0117578871418689,5.355827015955138e-09,0.0103399826183953,0.0388993218082116,0.1970662765154615,0.05829557372124,0.0053558270159593
n402402,9.668256736673176e-05,4.2929509281630547e-11,0.0004804178481974,0.0002726598725681,7.851362089168054e-05,0.0006778316130183,0.9937908073628012,0.0005081542397483,0.0004345854394983,8.259967797439832e-05,0.000302713812485,4.2929509281630547e-11,0.0004323472072176,0.0003269194829335,0.002003852654997,0.0004689850051583,4.292950928441472e-05
n446446,0.0059892915449221,2.6593984463399335e-09,0.0250127845985988,0.0176514413637497,0.0048632934944775,0.0142836415279437,0.7299927228546383,0.0314791531105464,0.0105453127504472,0.0051168871703471,0.00559497464139,2.6593984463399335e-09,0.0053698572376636,0.019315061695287,0.0931787565162533,0.0289474177285957,0.0026593984463419
n2,0.0001551133121247,6.887427344833158e-11,0.0012115733118071,0.0053543471510444,0.0001280401292241,0.0016511853725148,1.7803597910083063e-05,0.0056640582401571,0.926271603501008,0.0002058816372521,0.0001408158950618,6.887427344833158e-11,0.0001324224475387,0.0168845128725355,0.0397587179510303,0.0010050998325501,0.0014188246104922
SAMN26308499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
n1313,5.759147739093216e-05,2.5572087319801523e-11,0.0008596408381483,0.0003599558794819,4.6930064450873606e-05,0.0002366403201778,6.610233284900131e-06,0.000664787749439,0.9903467367854352,5.503168154103913e-05,5.228303957464988e-05,2.5572087319801523e-11,4.916666589708054e-05,0.0013636534091866,0.0055350503927682,0.0002882054757749,7.771593630423126e-05
SAMN11319282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n16,0.0003258585834796,1.4468953616323896e-10,0.0058327083248361,0.0039761346380924,0.0003448221447052,0.0503054726825582,3.740138665835252e-05,0.0063272643265315,0.6171660428602731,0.000296359843172,0.0002958228888626,1.4468953616323896e-10,0.0002781901216887,0.0034701815791833,0.3095363816339363,0.0015888397320359,0.0002185189646071
n4747,0.0026378681437269,1.1712808485813983e-09,0.0139266814463388,0.0073617499761071,0.0021478404844624,0.0097877859141147,0.0003027691452042,0.4921098301770052,0.2666889447190084,0.0022894491468054,0.0023947252405667,1.1712808485813983e-09,0.0022519856683406,0.013006732252695,0.170998552135431,0.0127766259132958,0.0013184572943355
n54,0.0013360260216656,5.932296866712983e-10,0.0056184258269494,0.0035499516507473,0.0010852468337136,0.0033576120047129,0.0001533463516789,0.0077446785661862,0.0819349411787358,0.0160095240059103,0.0012128791364134,5.932296866712983e-10,0.0011405844755644,0.7559979334007353,0.1137403979422612,0.0064678496508049,0.0006506017674606
