node,0
n389389,11
n349,10
n400400,9
n369,8
n32,8
n211,8
n368368,8
n404,8
n117,8
n317317,7
n445,7
n317,7
n336,7
n278,7
n0,7
n370370,7
n278278,7
n382,7
n27,7
n445445,7
root,7
n104104,7
n1212,7
n94,6
n402402,6
n247,6
n401401,6
n322322,6
n404404,6
n446446,6
n101101,6
n17,6
n402,6
n405,6
n378378,5
n331,5
n326326,5
n106106,5
n403,5
n326,5
n229,5
n403403,5
n230,4
n4848,4
n1313,4
n229229,4
n75,4
n395395,4
n62,4
n396396,4
n327,4
n14,4
n6161,4
n6262,4
n379,4
n419,4
n13,4
n379379,4
n396,4
n412412,3
n342,3
n166166,3
n244244,3
n184,3
n166,3
n413,3
n165,3
n414,3
n83,3
n121121,3
n413413,3
n239239,3
n243,3
n388388,3
n408408,3
n167,3
n222222,3
n442442,3
n405405,3
n223,3
n284284,3
n63,3
n388,3
n407407,2
n410,2
n235235,2
n309309,2
n409409,2
n208,2
n410410,2
n255,2
n368,2
n224224,2
n254,2
n214214,2
n395,2
n300300,2
n242242,2
n230230,2
n357357,2
n436,2
n169,2
n233,2
n437,2
n436436,2
n411411,2
n56,2
n313313,2
n238,2
n19,2
n35,2
n312312,2
n164164,2
n412,2
n235,2
n411,2
n290290,2
n160,1
n347347,1
n279,1
n308,1
n345345,1
n275275,1
n335335,1
n164,1
n279279,1
n335,1
n334334,1
n336336,1
n308308,1
n276276,1
n203203,1
n96,1
n334,1
n315,1
n277,1
n161161,1
n346,1
n162,1
n171171,1
n171,1
n260260,1
n163163,1
n170170,1
n163,1
n162162,1
n167167,1
n350350,1
n343,1
n337337,1
n168,1
n170,1
n348348,1
n168168,1
n274,1
n352,1
n350,1
n342342,1
n274274,1
n307,1
n277277,1
n307307,1
n288,1
n172,1
n275,1
n287287,1
n122,1
n9595,1
n443,1
n9,1
n1010,1
n1111,1
n232232,1
n240240,1
n406,1
n443443,1
n241,1
n440440,1
n233233,1
n241241,1
n22,1
n414414,1
n3333,1
n228228,1
n8,1
n358,1
n392392,1
n240,1
n3,1
n5555,1
n398398,1
n48,1
n409,1
n33,1
n55,1
n5656,1
n399,1
n408,1
n6,1
n99,1
n399399,1
n77,1
n10,1
n242,1
n415415,1
n119,1
n207207,1
n209,1
n214,1
n215,1
n222,1
n256,1
n365365,1
n377,1
n45,1
n122122,1
n256256,1
n377377,1
n353353,1
n123123,1
n332,1
n333333,1
n145145,1
n4444,1
n321321,1
n213,1
n231,1
n243243,1
n417,1
n37,1
n106,1
n210210,1
n217,1
n221221,1
n320,1
n321,1
n376,1
n208208,1
n4747,1
n213213,1
n309,1
