node,aac3_AMR,gyrAS83L_AMR,cvaC_VIR,mphA_AMR,parEI529L_AMR,aac6_AMR,IncQ1_PLASMID,IncC_PLASMID,astA_VIR,blaCTXM27_AMR,sslE_VIR,IncI_PLASMID,iroBCDEN_VIR,IncFII_PLASMID,IncX_PLASMID,sul_AMR,ant2Ia_AMR,aph3Ib_AMR,aac6IbcrblaOXAOH_AMR,IncFIA_PLASMID,catA_AMR,blaCTXM14_AMR,parEE460D_AMR,blaCMY_AMR,cnf1_VIR,glpTE448K_AMR,blaCTXM_AMR,aph3Ia_AMR,catB_AMR,papCFGII_VIR,blaCTXM15_AMR,sfaF_VIR,parCE84V_AMR,aph6Id_AMR,gyrAD87NparCS80I_AMR,aaraatAagg3DCBagg5AaggR_VIR,Col_PLASMID,parCS80R_AMR,papH_VIR,parEL445H_AMR,IncFIB_PLASMID,papA_VIR,ermB_AMR,IncBOKZ_PLASMID,blaTEMCA_AMR,iutA_VIR,cmlA_AMR,senB_VIR,qnrB_AMR,qnrS1_AMR,acrF_AMR,merCPRT_STRESS,afaCnfaE_VIR,BlaKPC_AMR,mdtM_AMR,IncY_PLASMID,blaNDMble_AMR,iss_VIR,fdeC_VIR,papE_VIR,iha_VIR,blaTEMIR_AMR,IncN_PLASMID,aap_VIR,aadAqacE_AMRSTRESS,ymgB_STRESS,ireA_VIR,hlyAalpha_VIR,mchF_VIR,ibeA_VIR,dfrA_AMR,tet_AMR,sat_VIR,iucABCD_VIR,p0111_PLASMID,kefBpsiGItrxLHR_STRESS,emrE_STRESS,sat2_AMR,ampCT32A_AMR
root,0.0142369099437884,0.4085516383282755,0.053248738600945,0.0334762801653585,0.9607741875132908,0.0355363173535337,0.0113733514229413,0.0182372845821285,0.0630276036687432,0.0441364765943232,0.3194287852563863,0.0591856947594651,0.0512217789366654,0.8615142678703401,0.0113378886997753,0.0894911222224407,0.011414348113778,0.0135095138451647,0.0648749437835028,0.217253786926977,0.0113686810685672,0.040827579763463,0.0032773139866103,0.0113378668189219,0.1032349270322595,0.999571737635464,0.0110172574162019,0.0116154489101941,0.0112465456405484,0.1311500177691963,0.0081036030387112,0.0134524756304155,0.0011074796022046,0.0130299367464306,0.0361982914700724,0.0019412421177765,0.05320036527745,0.0072018380586021,0.0693006850606832,0.0444793039747559,0.3683324780715741,0.0141511918625524,0.0113378578375647,0.0146501346095153,0.4436516742983464,0.0143123186508208,0.0113402592553431,0.0342925875011811,0.011337720311627,0.0215506265010467,0.995158009054396,0.1827073427588091,0.1468104955933801,0.0512976841382959,0.4103591263103293,0.0704125887833922,0.0326203537948715,0.5278514944048005,0.928702487528112,0.0256787632259239,0.9597977104936508,0.0094874684533882,0.0538030792063106,0.006643813454666,0.0603406425467892,0.9717363445849764,0.0131981368862925,0.1139895580355904,0.0916497657211512,0.4682647071747903,0.0632705394390976,0.0254011824565543,0.9304756005383272,0.9692180133463912,0.0079758029177241,0.0107188202949685,0.9986304496555936,0.0106626071710539,0.0031954149465812
n0,0.4968525358485449,0.9964512628397952,0.0020695550587856,0.987867179289976,0.9281785671396054,0.0016341370097121,0.0138297141427129,0.0101734268021003,0.0082761027422455,0.0029348637680114,0.0030634507885989,0.0648261708996374,0.0012055892942247,0.9998221484774544,0.0086346960603111,0.993017313761662,0.0047267127211196,0.4859554466175644,0.0089182259678459,0.2992675186230309,0.0142339558650973,0.0047643690726642,0.0001032973017634,0.0084571866443914,0.0053249362308453,0.9999997672506116,0.002331219616975,0.00571999170228,0.0032667280340736,0.0017151866582518,0.0014215819048277,0.0017835901738794,6.177472273254547e-06,0.4768261271244474,0.0842723935234308,1.768409002707482e-05,0.5920769264413324,0.0004682027210048,0.0023916169217144,0.1029492048155219,0.04022964022791,0.001957087860956,0.0451568211803788,0.0146501346095153,0.8591693264635056,0.0143123186508208,0.0068420912873722,0.5706158787239043,0.0067441282686927,0.0220466435115443,0.9950803782875588,0.0177437656596236,0.0119212579316477,0.0390476206748176,0.9998620322377167,0.0153671624097184,0.013121527762502,0.0036721530842541,0.9951996933753452,0.0002952000857022,0.9999786345181828,0.0094874684533882,0.0538030792063106,0.0003791417064374,0.9909856750664784,0.970866414673086,0.0023151158962117,0.0044775637296366,0.0021580030324318,0.0027178750859878,0.991260147265108,0.5534678617274564,0.9636973825284728,0.9803033875858632,0.006770045158304,0.001828749440136,0.9999993318840242,0.001762542674928,0.002715319214108
n6161,0.9759692158436,1.047321340527093e-05,0.2888056362109504,0.7509316088521368,0.999984061551454,0.0001152455800307,0.0283709410450015,0.0709065139934021,0.2876973047723911,0.0002451115023509,0.9999997599501002,0.0603751938084535,0.2166113761946053,0.9999706286499824,0.026935174113467,0.9989313020641948,0.0725979777749274,0.9905409891292052,0.0032243506659748,0.0010252712566727,0.0272168262880854,0.000811334831366,3.728505333281582e-06,0.0111621574020105,0.0004931350796905,0.9999999998688792,0.0009118201736804,0.4702204970596585,0.0019817478373272,0.9857288915368804,0.0008629147019843,0.0635921674036882,3.821131900315031e-08,0.9888801380592804,8.346686028834169e-07,1.9652391039041857e-07,0.998451505096966,9.431783627941675e-05,0.0002523224116204,1.7940648251123412e-06,0.2287796846578423,0.0932122425618145,0.0088316109974735,0.0146501346095153,0.6165638108745652,0.0143123186508208,0.0600309625836816,0.9978508091428664,0.0092017749526951,0.0184036354186728,0.9953429100632436,0.2412382122996859,0.0097990092422452,0.0324803924096389,0.0002001772059174,0.0060186718687865,0.0113687633344157,0.999966634308872,0.9994833304754324,3.634878548995603e-06,0.9808002584092256,0.0094874684533882,0.0538030792063106,0.0004823443399348,0.9992648438685242,0.9720099225654052,0.0927687952215314,0.0004567037782115,0.8583215841701977,0.999961196089035,0.9993648250614314,0.9985088909850636,0.9732979134937878,0.9999960434409706,0.0090068751915349,0.0005304623491569,0.9999999996635388,0.0004895238835912,0.0031017783157814
n00,0.9994787751049335,0.9962881301778924,2.3857176176051142e-08,0.9999999998290292,0.9999999835143278,9.985246234615235e-10,0.0196319152837287,0.0002228855315364,0.0003238001430524,3.692300292750648e-06,1.0088027149711054e-09,0.0938633491236628,4.506269362580291e-09,0.9999999999996492,0.0013463211716075,0.9999999999844126,2.0646642515458727e-05,0.9999999940971732,3.1569468077734477e-07,0.0952331438241749,0.0204765459144019,9.799786438182797e-08,1.6711190368906192e-11,0.0025122001290051,9.417807450585513e-09,1.0,5.055052980226961e-07,0.0010868290055832,2.6085276716785075e-06,6.01024921741485e-07,0.0012632509187316,1.520515797163387e-07,8.176549280994716e-11,0.9999999931080398,0.0026221546208861,5.2993710595637136e-14,0.999999999971822,1.1600184228460856e-09,4.610840410200279e-10,4.532460519170672e-07,1.276663013850894e-05,2.2703743581221477e-07,0.1138632140879151,0.0146501346095153,0.9763907319893405,0.0143123186508208,0.0002469677772424,0.9999999999540786,0.0002224815597022,0.0258465480089256,0.9944669570230308,0.0011382063871468,8.579914957046858e-05,0.0297896374567176,1.0,4.717173534069818e-05,0.000642944608118,3.1572354720921045e-11,0.9999999885725612,1.5874623928153509e-12,1.0,0.0094874684533882,0.0538030792063106,5.982916497473804e-10,0.9999999941789356,0.9648513918280988,4.86264500164422e-07,2.102428379106026e-09,4.680457907041612e-08,2.7602848352254744e-11,0.9999999999763864,0.9999999999604914,0.9999999999999905,0.9999999999999968,0.0020334636403193,1.722472388434519e-07,1.0,1.471872224898562e-07,0.000822534698957
SAMN11319316,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
n62,0.9759692158436,1.047321340527093e-05,0.2888056362109504,0.7509316088521368,0.999984061551454,0.0001152455800307,0.0283709410450015,0.0709065139934021,0.2876973047723911,0.0002451115023509,0.9999997599501002,0.0603751938084535,0.2166113761946053,0.9999706286499824,0.026935174113467,0.9989313020641948,0.0725979777749274,0.990540989129205,0.0032243506659748,0.0010252712566727,0.0272168262880854,0.000811334831366,3.728505333281582e-06,0.0111621574020105,0.0004931350796905,0.9999999998688792,0.0009118201736804,0.4702204970596589,0.0019817478373272,0.9857288915368804,0.0008629147019843,0.0635921674036882,3.821131900315031e-08,0.9888801380592804,8.346686028834169e-07,1.9652391039041857e-07,0.998451505096966,9.431783627941675e-05,0.0002523224116204,1.7940648251123412e-06,0.2287796846578423,0.0932122425618145,0.0088316109974735,0.0146501346095153,0.6165638108745652,0.0143123186508208,0.0600309625836816,0.9978508091428664,0.0092017749526951,0.0184036354186728,0.9953429100632436,0.2412382122996865,0.0097990092422452,0.0324803924096389,0.0002001772059174,0.0060186718687865,0.0113687633344157,0.999966634308872,0.9994833304754324,3.634878548995603e-06,0.9808002584092256,0.0094874684533882,0.0538030792063106,0.0004823443399348,0.9992648438685242,0.9720099225654052,0.0927687952215314,0.0004567037782115,0.8583215841701977,0.999961196089035,0.9993648250614314,0.9985088909850636,0.9732979134937878,0.9999960434409706,0.0090068751915349,0.0005304623491569,0.9999999996635388,0.0004895238835912,0.0031017783157814
n401401,0.9728826682227292,2.3455919853533984e-08,0.3317119174047855,0.6048817278791065,0.999155364414334,0.0001460475132413,0.03363656203706,0.0361314901332222,0.6646559949123949,3.295879837286921e-05,0.9999999509551324,0.0655156418832204,0.7625026337557077,0.9999719003835412,0.0239123373107982,0.9999150102992844,0.0311577395389399,0.9905758325263762,0.0007604065295118,1.8774912941311633e-05,0.0134044892866009,0.0002157071057561,2.7656787173126604e-07,0.011608023455575,0.0004700383870511,0.9999999997894748,0.0004512491983435,0.4774515022765113,0.0012539234232892,0.9725281493161784,4.437079785801154e-05,0.1448934033322199,6.434873511511156e-09,0.9885363843573076,1.2495788696144753e-08,2.028112006529497e-08,0.9984937094208268,7.141823833791346e-06,7.570149787994215e-05,3.6040603669635364e-08,0.4742521882598567,0.0798334868031298,0.0081746938331011,0.0146501346095153,0.4662439312976131,0.0143123186508208,0.0296572163082638,0.9979040929199524,0.0094590552243739,0.0174800804416815,0.9954056322204238,0.0811296722796902,0.0160764743791908,0.0284744239403854,2.9593150220022893e-07,0.0029851559003788,0.0086237670979103,0.9999991722976082,0.9995064364312158,1.1798490395492202e-06,0.948362699909546,0.0094874684533882,0.0538030792063106,1.5687007422474196e-05,0.999748837394115,0.9721996359098356,0.1951156832643055,0.0001587162437022,0.9610248957574756,0.9999999903912582,0.9999394972172968,0.9987040975307238,0.9428904768996398,0.9999956751593706,0.0116218201429521,0.0002152923153586,0.9999999994410804,0.0001925821756594,0.0030718066466485
n1,0.9994787751049335,0.9962881301778924,2.3857176176051142e-08,0.9999999998290292,0.9999999835143278,9.985246234615235e-10,0.0196319152837287,0.0002228855315364,0.0003238001430524,3.692300292750648e-06,1.0088027149711054e-09,0.0938633491236628,4.506269362580291e-09,0.9999999999996492,0.0013463211716075,0.9999999999844126,2.0646642515458645e-05,0.9999999940971732,3.1569468077734477e-07,0.0952331438241749,0.0204765459144019,9.799786438182957e-08,1.6711190368906192e-11,0.0025122001290051,9.417807450585513e-09,1.0,5.055052980226961e-07,0.0010868290055832,2.6085276716785075e-06,6.01024921741485e-07,0.0012632509187316,1.5205157971633748e-07,8.176549280994716e-11,0.9999999931080398,0.0026221546208861,5.2993710595637136e-14,0.999999999971822,1.1600184228460856e-09,4.6108404102003537e-10,4.532460519170672e-07,1.276663013850894e-05,2.2703743581221477e-07,0.1138632140879151,0.0146501346095153,0.9763907319893405,0.0143123186508208,0.0002469677772424,0.9999999999540786,0.0002224815597022,0.0258465480089256,0.9944669570230308,0.0011382063871468,8.57991495704684e-05,0.0297896374567176,1.0,4.717173534069818e-05,0.000642944608118,3.1572354720921045e-11,0.9999999885725612,1.5874623928153509e-12,1.0,0.0094874684533882,0.0538030792063106,5.982916497473804e-10,0.9999999941789356,0.9648513918280988,4.86264500164422e-07,2.102428379106026e-09,4.680457907041612e-08,2.7602848352254744e-11,0.9999999999763864,0.9999999999604914,0.9999999999999905,0.9999999999999968,0.0020334636403193,1.722472388434519e-07,1.0,1.471872224898562e-07,0.000822534698957
n15,0.9999857289629024,0.9999881273694212,1.285146467538249e-07,0.999999994608533,0.9999868516896808,4.1666985858326104e-08,0.0157834951790351,0.0002170691848577,0.0003972676345714,2.5568372270894304e-05,5.123844248988445e-09,0.0939099537783318,4.1453265525763133e-08,0.999999999806104,0.0013269488482245,0.999999997056164,2.051894174255184e-05,0.999999980094516,9.885568016188692e-07,0.0949693377452811,0.0165324903485224,4.1269678399896515e-07,1.9348451449110222e-09,0.0025883635664378,7.550373073660303e-07,0.9999999999982008,7.682221793067056e-07,0.0009292600616629,2.982086480267338e-06,5.067373343691758e-06,0.0007958915254002,3.21130359968568e-07,5.968039385844747e-11,0.9999999774930936,0.0026385376255066,1.7914835746198802e-10,0.9999999614506913,1.8442815380868893e-08,4.3903804840182844e-08,2.3240370770915636e-05,8.092923381909461e-06,4.2474911362901683e-07,0.1097798923264006,0.0146501346095153,0.9869884713713674,0.0143123186508208,0.0002409734301418,0.9999999549108726,0.0002169871058949,0.0261416615277903,0.9943111887310644,0.0006421802518425,0.0007514353619398,0.0314168197751655,0.99999999999437,3.33682267766686e-05,0.0005254737704586,9.776944905335452e-09,0.99999981853706,2.924474619218285e-09,0.9999999999608522,0.0094874684533882,0.0538030792063106,1.292883859698006e-08,0.999999996028058,0.9641290344655624,7.454457801183483e-07,3.558480264407652e-07,1.6380578905541137e-07,7.471714509831927e-10,0.999999996082854,0.9999999928658676,0.9999999999543376,0.9999999999723356,0.0020137650396454,3.5032883788734224e-07,0.9999999999953052,3.14461350212138e-07,0.0008146269888414
n6262,0.98193898492535,2.4988634926972386e-06,0.2758204650683674,0.8571384405440657,0.9999998044450844,3.744889785551083e-05,0.0269606688683736,0.0992219151311168,0.1460408096409672,0.0001226278568883,0.9999997063298312,0.0587178431956412,0.0613793668206754,0.999999837446748,0.0332245616011766,0.999194634256725,0.1036326549276209,0.9940588950179954,0.0037331882278962,0.0022897488348385,0.0369348167884927,0.0005852149151863,1.0874578861810602e-06,0.0109054620311738,0.0003113148001456,0.9999999996708504,0.0008144108585554,0.4781180589977763,0.0018621459319783,0.997598159014178,0.0016055077998023,0.0329952604986716,8.667085347906291e-08,0.9930316638699558,1.6907689509338354e-07,4.5242852678507633e-07,0.9994290762668896,0.0001324890651623,0.0004423385178679,9.363914173116419e-08,0.1414527965790151,0.1038160505548083,0.0086207501774453,0.0146501346095153,0.7195107012731695,0.0143123186508208,0.0863349120960987,0.9991042328862868,0.0086839793335624,0.0180145994934853,0.9954004473169382,0.37443815663308,0.0078642289915118,0.0315922648063174,0.0002290062284291,0.0053806243765069,0.0109386435852098,0.9999977893432404,0.9997708982624968,9.08683371839239e-07,0.9836149609338088,0.0094874684533882,0.0538030792063106,0.0009872928093107,0.9998897722128484,0.9721450548445808,0.0532116682432267,0.0006594997028787,0.8232039795699534,0.9985464410891736,0.9999031430401392,0.9998115656082526,0.9774473930449576,0.9999998034799854,0.0083511509897008,0.0004482057500712,0.9999999991399644,0.0004095691333248,0.0030669487996764
