,bioproject_id_META
SAMN10093579,PRJNA448593
SAMN10093575,PRJNA448593
SAMN10093600,PRJNA448593
SAMN10093580,PRJNA448593
SAMN10093573,PRJNA448593
SAMN10093594,PRJNA448593
SAMN10093595,PRJNA448593
SAMN10093586,PRJNA448593
SAMN10093577,PRJNA448593
SAMN10093585,PRJNA448593
SAMN10093587,PRJNA448593
SAMN10093592,PRJNA448593
SAMN10093593,PRJNA448593
SAMN10093554,PRJNA448593
SAMN10093598,PRJNA448593
SAMN10093615,PRJNA448593
SAMN10093631,PRJNA448593
SAMN10093648,PRJNA448593
SAMN06702095,PRJNA381936
SAMN06702089,PRJNA381936
SAMN06702076,PRJNA381936
SAMN06702071,PRJNA381936
SAMN06702070,PRJNA381936
SAMN02801894,PRJNA248737
SAMN02801895,PRJNA248737
SAMN02801877,PRJNA248737
SAMN02801819,PRJNA248737
SAMN02801817,PRJNA248737
SAMN04022944,PRJNA278886
SAMN04096278,PRJNA278886
SAMN04339718,PRJNA278886
SAMN04339719,PRJNA278886
SAMN04393386,PRJNA278886
SAMN04393396,PRJNA278886
SAMN05510456,PRJNA278886
SAMN05463123,PRJNA278886
SAMN05774075,PRJNA278886
SAMN05774079,PRJNA278886
SAMN22066475,PRJNA288601
SAMN22657223,PRJNA288601
SAMN25004485,PRJNA288601
SAMN25226678,PRJNA288601
SAMN25226641,PRJNA288601
SAMN27020195,PRJNA288601
SAMN26308501,PRJNA809394
SAMN26305087,PRJNA809394
SAMN26308893,PRJNA809394
SAMN26308792,PRJNA809394
SAMN26304707,PRJNA809394
SAMN26308877,PRJNA809394
SAMN26305030,PRJNA809394
SAMN26304562,PRJNA809394
SAMN26308476,PRJNA809394
SAMN26304760,PRJNA809394
SAMN26304604,PRJNA809394
SAMN26304603,PRJNA809394
SAMN26304761,PRJNA809394
SAMN26304399,PRJNA809394
SAMN26308786,PRJNA809394
SAMN26304756,PRJNA809394
SAMN26304385,PRJNA809394
SAMN26308834,PRJNA809394
SAMN26308818,PRJNA809394
SAMN26304412,PRJNA809394
SAMN26304558,PRJNA809394
SAMN26305029,PRJNA809394
SAMN26304559,PRJNA809394
SAMN26304414,PRJNA809394
SAMN26305100,PRJNA809394
SAMN26308891,PRJNA809394
SAMN26304501,PRJNA809394
SAMN26308494,PRJNA809394
SAMN26305071,PRJNA809394
SAMN26308793,PRJNA809394
SAMN26308874,PRJNA809394
SAMN26304325,PRJNA809394
SAMN26308487,PRJNA809394
SAMN26308475,PRJNA809394
SAMN26304704,PRJNA809394
SAMN26304759,PRJNA809394
SAMN26308797,PRJNA809394
SAMN26308802,PRJNA809394
SAMN26308483,PRJNA809394
SAMN26305032,PRJNA809394
SAMN26308878,PRJNA809394
SAMN26308805,PRJNA809394
SAMN26308889,PRJNA809394
SAMN26305098,PRJNA809394
SAMN26304933,PRJNA809394
SAMN26304503,PRJNA809394
SAMN26308892,PRJNA809394
SAMN26304623,PRJNA809394
SAMN26304622,PRJNA809394
SAMN26308871,PRJNA809394
SAMN26304504,PRJNA809394
SAMN26309425,PRJNA809394
SAMN26304479,PRJNA809394
SAMN26308819,PRJNA809394
SAMN26308861,PRJNA809394
SAMN26308500,PRJNA809394
SAMN26304706,PRJNA809394
SAMN26308788,PRJNA809394
SAMN26309423,PRJNA809394
SAMN26308862,PRJNA809394
SAMN26304560,PRJNA809394
SAMN26304540,PRJNA809394
SAMN26304411,PRJNA809394
SAMN26305070,PRJNA809394
SAMN26308849,PRJNA809394
SAMN26304498,PRJNA809394
SAMN26308812,PRJNA809394
SAMN26304705,PRJNA809394
SAMN26308474,PRJNA809394
SAMN26304499,PRJNA809394
SAMN26304536,PRJNA809394
SAMN26304561,PRJNA809394
SAMN26308482,PRJNA809394
SAMN26308879,PRJNA809394
SAMN26308492,PRJNA809394
SAMN26304569,PRJNA809394
SAMN26305182,PRJNA809394
SAMN26304415,PRJNA809394
SAMN26305099,PRJNA809394
SAMN26305097,PRJNA809394
SAMN26304469,PRJNA809394
SAMN26309424,PRJNA809394
SAMN26308890,PRJNA809394
SAMN26304885,PRJNA809394
SAMN26304907,PRJNA809394
SAMN26304413,PRJNA809394
SAMN26308472,PRJNA809394
SAMN26305033,PRJNA809394
SAMN26308847,PRJNA809394
SAMN26308851,PRJNA809394
SAMN26304506,PRJNA809394
SAMN26308499,PRJNA809394
SAMN26304755,PRJNA809394
SAMN29599259,PRJNA288601
SAMN29440615,PRJNA288601
SAMN29767728,PRJNA288601
SAMN29869135,PRJNA288601
SAMN30109982,PRJNA288601
SAMN30370668,PRJNA288601
SAMN27404457,PRJNA824420
SAMN27404455,PRJNA824420
SAMN27404459,PRJNA824420
SAMN27404449,PRJNA824420
SAMN27404448,PRJNA824420
SAMN27404441,PRJNA824420
SAMN27404431,PRJNA824420
SAMN27404426,PRJNA824420
SAMN27404411,PRJNA824420
SAMN27404417,PRJNA824420
SAMN27404401,PRJNA824420
SAMN27404393,PRJNA824420
SAMN27404392,PRJNA824420
SAMN27404391,PRJNA824420
SAMN27404382,PRJNA824420
SAMN27404383,PRJNA824420
SAMN27404372,PRJNA824420
SAMN27404354,PRJNA824420
SAMN27404345,PRJNA824420
SAMN27404335,PRJNA824420
SAMN27404327,PRJNA824420
SAMN27404323,PRJNA824420
SAMN27404321,PRJNA824420
SAMN27404318,PRJNA824420
SAMN28174028,PRJNA836696
SAMN30965858,PRJNA288601
SAMN26308481,PRJNA809394
SAMN26308886,PRJNA809394
SAMN26308799,PRJNA809394
SAMN26304338,PRJNA809394
SAMN26308485,PRJNA809394
SAMN26304339,PRJNA809394
SAMN26308841,PRJNA809394
SAMN26304505,PRJNA809394
SAMN26304758,PRJNA809394
SAMN26308480,PRJNA809394
SAMN26308859,PRJNA809394
SAMN26308852,PRJNA809394
SAMN26304932,PRJNA809394
SAMN26305019,PRJNA809394
SAMN26308488,PRJNA809394
SAMN26308785,PRJNA809394
SAMN26308865,PRJNA809394
SAMN26308807,PRJNA809394
SAMN11335376,PRJNA530794
SAMN20203224,PRJNA288601
SAMN15226391,PRJNA288601
SAMN11319183,PRJNA530580
SAMN11319341,PRJNA530580
SAMN11319335,PRJNA530580
SAMN11319300,PRJNA530580
SAMN11319299,PRJNA530580
SAMN11319305,PRJNA530580
SAMN11319182,PRJNA530580
SAMN11319316,PRJNA530580
SAMN11319313,PRJNA530580
SAMN11319168,PRJNA530580
SAMN11319282,PRJNA530580
SAMN11319321,PRJNA530580
SAMN11319169,PRJNA530580
SAMN11319166,PRJNA530580
SAMN11319189,PRJNA530580
SAMN11319386,PRJNA530580
SAMN11319389,PRJNA530580
SAMN09405759,PRJNA475142
SAMN09405757,PRJNA475142
SAMN09405758,PRJNA475142
SAMN13423026,PRJNA592372
SAMN13423024,PRJNA592372
SAMN13423021,PRJNA592372
SAMN13423020,PRJNA592372
SAMN13422994,PRJNA592372
SAMN13422992,PRJNA592372
SAMN13082237,PRJNA578285
SAMN13082305,PRJNA578285
SAMN13082301,PRJNA578285
SAMN13082236,PRJNA578285
SAMN13082282,PRJNA578285
SAMN13082281,PRJNA578285
SAMN13082280,PRJNA578285
SAMN13082279,PRJNA578285
SAMN13082267,PRJNA578285
SAMN13082265,PRJNA578285
SAMN13082250,PRJNA578285
SAMN13082248,PRJNA578285
SAMN13082416,PRJNA578285
SAMN13082415,PRJNA578285
SAMN13082414,PRJNA578285
SAMN13082413,PRJNA578285
SAMN13082409,PRJNA578285
SAMN13082408,PRJNA578285
SAMN13082402,PRJNA578285
SAMN13082400,PRJNA578285
SAMN13082392,PRJNA578285
SAMN13082245,PRJNA578285
SAMN13082382,PRJNA578285
SAMN13082381,PRJNA578285
SAMN13082380,PRJNA578285
SAMN13082378,PRJNA578285
SAMN13082374,PRJNA578285
SAMN13082371,PRJNA578285
SAMN13082370,PRJNA578285
SAMN13082369,PRJNA578285
SAMN13082243,PRJNA578285
SAMN13082367,PRJNA578285
SAMN13082359,PRJNA578285
SAMN13082242,PRJNA578285
SAMN13082356,PRJNA578285
SAMN13082351,PRJNA578285
SAMN13082348,PRJNA578285
SAMN13082347,PRJNA578285
SAMN13082345,PRJNA578285
SAMN13082328,PRJNA578285
SAMN13082327,PRJNA578285
SAMN13082326,PRJNA578285
SAMN13082238,PRJNA578285
SAMN13082314,PRJNA578285
SAMN06680403,PRJNA278886
SAMN06754736,PRJNA278886
SAMN06754735,PRJNA278886
SAMN07325904,PRJNA278886
SAMN07332517,PRJNA278886
SAMN07450853,PRJNA278886
SAMN07450858,PRJNA278886
SAMN07662565,PRJNA278886
SAMN07775517,PRJNA278886
SAMN15868351,PRJNA658369
SAMN15868897,PRJNA658369
SAMN15868722,PRJNA658369
SAMN15868530,PRJNA658369
SAMN15868503,PRJNA658369
SAMN15868277,PRJNA658369
SAMN15868269,PRJNA658369
SAMN15868239,PRJNA658369
SAMN15869013,PRJNA658369
SAMN15868462,PRJNA658369
SAMN15868458,PRJNA658369
SAMN15868771,PRJNA658369
SAMN15868206,PRJNA658369
SAMN15868166,PRJNA658369
SAMN15869147,PRJNA658369
SAMN15868892,PRJNA658369
SAMN15868953,PRJNA658369
SAMN15868741,PRJNA658369
SAMN15868644,PRJNA658369
SAMN16826310,PRJNA288601
SAMN16895654,PRJNA288601
SAMN16340184,PRJNA475751
SAMN16340172,PRJNA475751
SAMN16340168,PRJNA475751
SAMN16340165,PRJNA475751
SAMN13622053,PRJNA475751
SAMN16340142,PRJNA475751
SAMN16340140,PRJNA475751
SAMN16340134,PRJNA475751
SAMN13622052,PRJNA475751
SAMN13622048,PRJNA475751
SAMN13622046,PRJNA475751
SAMN13622044,PRJNA475751
SAMN13622036,PRJNA475751
SAMN13622033,PRJNA475751
SAMN12220349,PRJNA475751
SAMN12220342,PRJNA475751
SAMN12220343,PRJNA475751
SAMN12220340,PRJNA475751
SAMN12220330,PRJNA475751
SAMN11285029,PRJNA475751
SAMN11285018,PRJNA475751
SAMN10435690,PRJNA475751
SAMN10435686,PRJNA475751
SAMN10435683,PRJNA475751
SAMN10435685,PRJNA475751
SAMN10435681,PRJNA475751
SAMN10435675,PRJNA475751
SAMN09400875,PRJNA475751
SAMN09400870,PRJNA475751
SAMN09400857,PRJNA475751
SAMN09400855,PRJNA475751
SAMN09400849,PRJNA475751
SAMN09400850,PRJNA475751
SAMN09400842,PRJNA475751
SAMN09400835,PRJNA475751
SAMN09400830,PRJNA475751
