,bioproject_id_META
SAMN26308798,PRJNA809394
SAMN27404369,PRJNA824420
SAMN26308827,PRJNA809394
SAMN26308864,PRJNA809394
SAMN07332516,PRJNA278886
SAMN07332520,PRJNA278886
SAMN04622922,PRJNA278886
SAMN05194538,PRJNA278886
SAMN04622920,PRJNA278886
SAMN05194537,PRJNA278886
SAMN04122821,PRJNA278886
SAMN04339728,PRJNA278886
SAMN02801868,PRJNA248737
SAMN02801843,PRJNA248737
SAMN02801828,PRJNA248737
SAMN02801827,PRJNA248737
