Year,Col_PLASMID,IncB_PLASMID,IncC_PLASMID,IncFIA_PLASMID,IncFIB_PLASMID,IncFII_PLASMID,IncI_PLASMID,IncN_PLASMID,IncQ_PLASMID,IncX_PLASMID,IncY_PLASMID,aac_AMR,aap_VIR,amp_AMR,ant_AMR,aph_AMR,arr_AMR,ast_VIR,blaCMY_AMR,blaCTX-M-14_AMR,blaCTX-M-15_AMR,blaCTX-M-27_AMR,blaCTX-M_AMR,blaKPC_AMR,blaOXA_AMR,blaTEM_AMR,cap_VIR,cat_AMR,cml_AMR,cva_VIR,dfr_AMR,emr_STRESS,erm_AMR,fde_VIR,glp_AMR,gyr_AMR,ibe_VIR,iha_VIR,ire_VIR,iro_VIR,iss_VIR,iuc_VIR,iut_VIR,mch_VIR,mdt_AMR,mer_STRESS,mph_AMR,p0111_PLASMID,pap_VIR,par_AMR,pmr_AMR,qnr_AMR,sat_AMR,sat_VIR,sen_VIR,sfa_VIR,ssl_VIR,sul_AMR,tet(A)_AMR,tet(B)_AMR,ymg_STRESS,blood_META,PRJNA248737_META,PRJNA278886_META,PRJNA288601_META,PRJNA381936_META,PRJNA448593_META,PRJNA475142_META,PRJNA475751_META,PRJNA530580_META,PRJNA530794_META,PRJNA578285_META,PRJNA592372_META,PRJNA658369_META,PRJNA809394_META,PRJNA824420_META,PRJNA836696_META,aad-qac_AMR,cnf-hly_VIR,blaNDM-ble_AMR,trx-kef-psi_STRESS,agg-aar-aat_VIR,afa-nfa_VIR,time_fitness,random_fitness,AMR,Plasmid,Virulence,Stress,Meta,Time,Random,AMR_MULT_FITNESS,Plasmid_MULT_FITNESS,Virulence_MULT_FITNESS,Stress_MULT_FITNESS,Meta_MULT_FITNESS,Time_MULT_FITNESS,Random_MULT_FITNESS,AMR_Plasmid_COV,AMR_Virulence_COV,AMR_Stress_COV,AMR_Meta_COV,AMR_Time_COV,AMR_Random_COV,Plasmid_Virulence_COV,Plasmid_Stress_COV,Plasmid_Meta_COV,Plasmid_Time_COV,Plasmid_Random_COV,Virulence_Stress_COV,Virulence_Meta_COV,Virulence_Time_COV,Virulence_Random_COV,Stress_Meta_COV,Stress_Time_COV,Stress_Random_COV,Meta_Time_COV,Meta_Random_COV,Time_Random_COV,TOTAL,TOTAL_DIRECT,TOTAL_SUMMED,LINEAR_AVG_FIT,LINEAR_VAR_FIT,TOTAL_NO_COV,FRAC_AMR,FRAC_PLASMID,FRAC_VIRULENCE,FRAC_STRESS,FRAC_META,FRAC_TIME,FRAC_RANDOM
1967.125219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,
1972.125219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,
1977.125219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,
1982.125219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.141306694248677,0.9968534895849988,1.1042931391834008,1.0308750711858683,1.1146539631216967,0.999997900539008,0.7953471582197322,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.1382011480570621,0.0,0.0,,,,,,,
1987.125219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.141306694248677,0.9968534895849988,1.1042931391834008,1.0308750711858683,1.1146539631216967,0.999997900539008,0.7953471582197322,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.1382011480570621,0.0,0.0,,,,,,,
1992.125219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1431115901940208,1.020174466468863,1.1042915380474627,1.0308750711858683,1.1146539631216967,0.999997900539008,0.8361106765617885,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.2128873039046773,0.0,0.0,,,,,,,
1997.125219,0.0009906375745625132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.958672328763246e-05,0.0,0.0,0.0,8.323232010410615e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9003190997832506e-07,0.0,0.0,0.0012629094978229632,0.0,0.0,0.0,0.0,0.0,0.0,0.0003137779977306255,0.0,0.0,0.0,7.222237291452134e-35,0.0,1.7075638439919999e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003260431216973578,0.0,0.0,0.0,6.0106125463454543e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003927267352203482,0.0,0.0,0.00010638709876371953,0.0,0.0,8.72447820200375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.002260075789687007,0.0009112135773011035,0.0009906375745625132,0.0028356922033158415,0.0,0.005952344349965266,0.0,0.002260075789687007,1.1632084427843272,1.0388822846932844,1.0708571283643902,1.0308750711858683,1.0734564119109482,0.999997900539008,0.8794641027471136,0.0019001919988527426,-0.0032149160092968354,0.0,-0.004640163725671286,0.0,0.002838587910896368,-0.0033520997875950143,0.0,-0.004838164292394946,0.0,0.0029597133815221057,0.0,0.008185642213323626,0.0,-0.005007509735295378,0.0,0.0,0.0,0.0,-0.007321839661292534,0.0,0.00045940578788057976,,0.00045940578788057976,0.23063400571932857,0.00030627052525371984,0.012949963494831731,0.07036418115500978,0.07649732564557976,0.21897298818236458,0.0,0.45964178604370726,0.0,0.17452371897333863
2002.125219,0.0006897965848137915,8.881274605614333e-05,0.0,1.3068118441264524e-07,8.305507164890061e-13,7.68382359948121e-05,6.565732639109717e-05,1.1049245432096693e-05,0.0,0.00013808065719315196,2.2742055571199613e-05,3.861659282766893e-05,0.0,0.0,0.0,6.286230492073282e-07,0.0,2.731972618972244e-07,7.92950932444964e-15,3.158885815502302e-14,4.345501430450387e-06,0.0,0.0,0.0,0.0,2.2382520312602784e-06,0.0,0.0,0.0,0.0,2.9457673200994563e-07,1.2197556314452495e-35,0.0,4.985169070353806e-05,1.0977800683007246e-34,7.806436041249597e-34,0.0,1.4610548490334042e-12,0.0,0.0,5.862694168124844e-05,0.00014558070507350663,2.2078754628190046e-15,0.0,1.951609010312399e-34,2.0895747718878664e-05,1.2896600611202739e-12,0.0,3.5777155712753105e-15,1.951609010312399e-34,7.444797555207822e-40,0.0,2.1331823336564875e-15,7.401246242507287e-05,5.089703971213933e-13,0.0,0.0,0.0002368102673380808,0.0003717162171462545,0.0,5.647132296308562e-06,1.907578613392795e-05,0.0020869963495489248,1.706153073116083e-08,0.000308538863497336,0.0003764583144390011,1.332908662100403e-14,0.0,8.218257508334041e-05,4.3718128067151756e-13,8.991990579691894e-06,0.002984723187674647,0.0008160720810191443,5.212822109444181e-05,5.37534814806162e-05,1.5581290572952065e-05,0.0,6.515807667707012e-06,0.0,0.0,1.0101894322607875e-06,0.0,3.487269104380363e-05,1.8175775281269095e-43,0.0025521587904984164,0.0004524017366106273,0.0009160951378357457,0.0002442819038478731,2.8050929430071992e-05,0.005535088266866276,1.8175775281269095e-43,0.0025521587904984164,1.1762009407117544,1.0456752094349326,1.1007106341604806,1.0310411391363739,1.0724831165940654,0.999997900539008,0.9651489560790825,0.00014880418787193916,-7.759108467486014e-05,2.117018711225109e-05,-0.0003241832974084703,1.7554048972279494e-38,-0.000132650123402301,-0.00020891483291954474,-2.3590211773453076e-05,-2.8589296846347376e-06,-1.5673258010963834e-40,-0.000903729064342646,1.0597941326673888e-06,0.00013012950446868407,-8.150094165701194e-39,-1.6210596249161534e-05,0.00011779646127136648,-2.272622411589756e-39,-6.983327570859354e-05,8.306826745810832e-39,0.003119685098281078,-9.168855936413843e-39,0.01150716058206333,,0.011507160582063332,0.36797932090975244,0.0113557505744046,0.009728076765089012,0.04650474575140628,0.09417022089333435,0.025111017290131134,0.0028835020639164668,0.5689807348899585,1.8683832087444252e-41,0.2623497791112532
2007.125219,0.0007487377017042259,0.00010357591131920808,1.6516214525165423e-11,3.0074400482561206e-07,2.0922008443925834e-12,7.895913123792522e-05,5.452402237665525e-05,1.997177432324685e-05,0.0,0.0001230201434813624,5.134740901770501e-05,5.156445119462566e-05,0.0,0.0,0.0,6.015591740082375e-07,1.6141163399750937e-12,1.6095342561386858e-07,9.270303294523764e-15,6.292239703107855e-14,1.0000548350115978e-05,7.799204898431252e-05,0.0,1.1157944959829737e-12,5.70383907178939e-05,2.2585224264449937e-06,0.0,9.386852144189781e-12,7.133448468228423e-13,0.0,2.943663797329142e-07,1.2131101700486007e-35,0.0,5.8281070575405715e-05,1.0917991530437406e-34,0.0,0.0,2.142469678108883e-12,0.0,0.0,4.8685757642070215e-05,0.00016751655743681094,2.8529952204441737e-15,0.0,1.940976272077761e-34,5.962982270552124e-05,1.2422030580203437e-12,0.0,3.8822026130305995e-15,4.852440680194403e-35,1.8510592194345104e-40,2.983107374432208e-06,2.4938803154617903e-15,0.00010104592038830884,5.288775167888854e-13,0.0,0.0,0.00024642794081776984,0.00044345822539737897,3.5920688687354853e-05,5.518876968723022e-06,2.3806568588359527e-05,0.001964463072229355,2.968408762383657e-08,0.00071005794651761,0.00065497180578995,2.3190285879857203e-14,0.0,7.269738598056206e-05,7.606191758194854e-13,1.0512438599223042e-05,0.0026971421859246308,0.0008353511579089331,8.973104525778115e-05,5.999737546558603e-05,4.446405110207736e-05,1.9867967650642578e-05,6.575060970550808e-06,4.7855309663938665e-05,8.266780997891448e-07,3.4314138127812003e-06,0.0,3.4080676941967236e-05,0.0,0.013933168343487214,0.0005070239880465132,0.0010835689129161774,0.0003116700050507988,6.916027824188683e-05,0.006558684807921067,0.0,0.013933168343487214,1.1862707480234713,1.0548861899605089,1.1018999012739028,1.0324042033398273,1.0530014381357775,0.999997900539008,1.029842618316043,-9.2290908648708e-05,-0.00022816583475628746,-5.256685001123972e-05,-0.0003402824915245453,0.0,-0.0008344662501766233,-5.3464698276831304e-05,4.144014481871072e-05,-0.0004307924557447178,0.0,-0.0016375468534741394,2.138218416377163e-06,0.00029011982655284893,0.0,0.0002787513497457027,-1.0741982157355456e-05,0.0,-0.0001854162935816395,0.0,0.008622145193638889,0.0,0.02783213645048409,,0.027832136450484095,0.434222070963084,0.027616383454743907,0.022463276335663657,0.022571239407385122,0.04823734956222112,0.0138746459062153,0.003078815272021785,0.2919736511235549,0.0,0.6202642987286018
2012.125219,0.0007499219022389108,0.00015380447510640182,2.6207522563671433e-11,6.935251148091973e-07,3.446361741239522e-12,8.816989092683716e-05,3.829457638364008e-05,2.6607522118157372e-05,0.0,0.00015587998822913228,6.811171237415152e-05,5.5827804637364326e-05,0.0,1.7847561221211096e-05,0.0,5.627097783091923e-07,3.1704670734730042e-12,0.0,5.632174847272615e-15,7.508539418100503e-14,2.0382708173158267e-05,0.00013947014247186527,3.426091846806564e-14,1.5064737295252703e-12,9.924063263492771e-05,2.841226810949531e-06,0.0,2.190840892411555e-11,8.600138807490349e-13,0.0,2.8782993180378966e-07,4.860247737014958e-35,0.0,7.01492667632222e-05,1.2150619342537395e-35,7.776396379223933e-34,0.0,2.6929876631084516e-12,0.0,0.0,6.573236841897066e-05,0.00019722087651505803,3.344829847147849e-15,0.0,4.860247737014958e-35,7.140885043058902e-05,1.1544348047725834e-12,0.0,4.812308926790848e-15,1.944099094805983e-34,1.0478618262076525e-10,4.244825654258874e-06,1.5151575454008737e-15,0.00011944461215775938,5.301083962566318e-13,0.0,0.0,0.0002457828152453196,0.00043696020089991814,4.330625084737154e-05,4.043185378689111e-06,2.193963669711706e-05,0.0,4.7101979391122536e-08,0.001054396609870987,0.0007870375200121377,2.786627596166891e-14,0.0,8.690506611759939e-05,3.105212834676187e-13,1.265316255086242e-05,0.0015124584548073371,0.0,0.0001239066005368845,7.9973232592089e-05,9.208649882614349e-05,2.3913825690019937e-05,6.438360302483804e-06,0.00011430085864892465,9.966492978766335e-07,4.738324616141228e-06,0.0,6.337992801964776e-05,0.0,0.015471716441293224,0.0005678656158308299,0.0011571117458658107,0.00047707655974881154,7.970660110127848e-05,0.004275534826641409,0.0,0.015471716441293224,1.1889339491335078,1.0576988758764794,1.1028799309276012,1.0330375251398187,1.0050814773899044,0.9999960249355692,1.0373587992913214,-0.0001680678199956498,-0.0001995274776596485,-9.720830727244376e-05,-0.0002756098378993503,0.0,-0.0013971905979586982,4.725697121949315e-05,0.00010921024357822831,-0.0006064734071841869,0.0,-0.0022782908820724135,1.767203026605597e-06,0.0002852435013760287,0.0,0.000663358097486808,-8.456499962065784e-05,0.0,-0.0001707107766184504,0.0,0.006792307144336854,0.0,0.024650510845223888,,0.024650510845223877,0.40132363645287866,0.024420132239193756,0.022029011790481362,0.025778079435964624,0.05252672052977853,0.02165673904423412,0.003618255864555819,0.19408654674599832,0.0,0.7023336583794687
