,collection_date,0
SAMN26308795,2019-11-06,2019.85
SAMN26308766,2020-08-31,2020.66
SAMN26308880,2020-04-07,2020.27
SAMN27404460,2019-11-28,2019.91
SAMN27404344,2018-11-24,2018.9
SAMN27404320,2018-11-08,2018.85
SAMN27404432,2018-03-31,2018.24
SAMN27404428,2019-12-21,2019.97
SAMN27404427,2019-03-10,2019.19
SAMN09400869,2017,2017.0
SAMN26304621,2020-09-11,2020.69
SAMN26304556,2020-05-03,2020.34
SAMN26308830,2020-01-24,2020.06
SAMN26308832,2020-01-29,2020.08
SAMN26308498,2020-09-02,2020.67
SAMN26308831,2020-02-23,2020.14
SAMN26308836,2020-03-08,2020.18
SAMN26308477,2020-02-11,2020.11
SAMN27404328,2018-11-22,2018.89
SAMN27404336,2017-05-05,2017.34
SAMN27404315,2019-05-02,2019.33
SAMN27404312,2019-03-27,2019.23
SAMN27404415,2017-07-25,2017.56
SAMN27404414,2016-11-22,2016.89
SAMN27404430,2019-05-21,2019.38
SAMN27404402,2019-01-25,2019.07
SAMN26308765,2020-09-24,2020.73
SAMN26308764,2020-08-10,2020.61
SAMN06015662,2016,2017.0
SAMN11319444,2010,2010.77
SAMN13082278,2013,2013.0
SAMN13082393,2011,2011.0
SAMN13082353,2013,2013.0
SAMN13082313,2011,2011.0
SAMN13082312,2011,2011.0
SAMN10093596,2014,2014.0
SAMN06702082,2015-02-24,2015.15
SAMN26308829,2020-01-24,2020.06
SAMN07775513,2016,2016.01
SAMN14792069,2020-01-13,2020.03
SAMN13082266,2012,2013.0
SAMN13082410,2013,2013.0
SAMN13082407,2013,2013.04
SAMN13082406,2013,2013.04
SAMN13082405,2012,2012.0
SAMN13082390,2012,2012.33
SAMN13082389,2012,2012.0
SAMN13082388,2011,2011.51
SAMN13082377,2010,2010.0
SAMN13082364,2012,2013.0
SAMN13082320,2011,2011.0
SAMN10093590,2016,2016.0
SAMN16340148,2019,2019.84
SAMN16340143,2019,2019.0
SAMN16340132,2019,2019.0
SAMN16340123,2018,2018.0
SAMN13622050,2018,2018.13
SAMN09400846,2017,2017.3
SAMN09400791,2016,2016.36
SAMN16340190,2019,2020.0
SAMN27404332,2019-12-08,2019.93
SAMN27404333,2019-12-09,2019.94
SAMN02801896,2011,2011.0
SAMN02801906,2011,2011.0
SAMN02801878,2010,2011.0
SAMN02801876,2010,2011.0
SAMN02801826,2008,2008.0
SAMN02801822,2008,2008.0
SAMN13423005,2011,2011.0
SAMN13422999,2011,2011.0
SAMN13082292,2010,2010.63
SAMN13082288,2010,2011.0
SAMN13082234,2010,2011.0
SAMN13082276,2012,2013.0
SAMN13082251,2011,2011.0
SAMN13082417,2013,2014.0
SAMN26308790,2019-10-19,2019.8
SAMN26304624,2020-02-25,2020.15
SAMN26308808,2019-12-10,2019.94
SAMN26308817,2019-12-29,2019.99
SAMN26308800,2019-11-18,2019.88
SAMN26308798,2019-11-15,2019.87
SAMN27404369,2019-02-15,2019.12
SAMN26308827,2020-01-23,2020.06
SAMN26308864,2020-06-12,2020.45
SAMN07332516,2017,2018.0
SAMN07332520,2017,2018.0
SAMN04622922,2014,2014.0
SAMN05194538,2014,2014.0
SAMN04622920,2014,2015.0
SAMN05194537,2014,2015.0
SAMN04122821,2015,2016.0
SAMN04339728,2015,2016.0
SAMN02801868,2010,2010.01
SAMN02801843,2009,2010.0
SAMN02801828,2008,2008.55
SAMN02801827,2008,2008.55
SAMN13176243,,2017.67
SAMN13176239,,2017.68
SAMN04606407,,2014.0
SAMN13176253,,2017.75
SAMN13176246,,2017.79
