,collection_date,0
SAMN13082252,2011,2011.2
SAMN09400819,2017,2017.0
SAMN15868657,2017,2017.0
SAMN13082352,2013,2013.0
SAMN13082341,2013,2013.0
SAMN13082340,2013,2013.0
SAMN13082339,2012,2013.0
SAMN16340147,2019,2020.0
SAMN13622034,2018,2019.0
SAMN14669297,2019,2019.0
SAMN14792114,2020-02-26,2020.15
SAMN06015664,2016,2016.0
SAMN10093579,2013,2013.0
SAMN10093575,2012,2013.0
SAMN10093600,2016,2016.0
SAMN10093580,2013,2013.0
SAMN10093573,2014,2014.0
SAMN10093594,2012,2013.0
SAMN10093595,2013,2013.0
SAMN10093586,2015,2015.0
SAMN10093577,2012,2013.0
SAMN10093585,2015,2015.0
SAMN10093587,2015,2015.23
SAMN10093592,2016,2016.0
SAMN10093593,2016,2017.0
SAMN10093554,2015,2016.0
SAMN10093598,2014,2014.0
SAMN10093615,2015,2016.0
SAMN10093631,2012,2013.0
SAMN10093648,2012,2013.0
SAMN06702095,2014-11-12,2014.86
SAMN06702089,2015-02-24,2015.15
SAMN06702076,2015-02-24,2015.15
SAMN06702071,2014-11-12,2014.86
SAMN06702070,2015-02-24,2015.15
SAMN02801894,2011,2011.0
SAMN02801895,2011,2011.0
SAMN02801877,2010,2011.0
SAMN02801819,2008,2009.0
SAMN02801817,2008,2008.0
SAMN04022944,2015,2015.0
SAMN04096278,2015,2016.0
SAMN04339718,2015,2015.02
SAMN04339719,2015,2016.0
SAMN04393386,2015,2016.0
SAMN04393396,2015,2015.0
SAMN05510456,2016,2016.0
SAMN05463123,2015,2015.65
SAMN05774075,2016,2017.0
SAMN05774079,2016,2017.0
SAMN22066475,2021,2021.0
SAMN22657223,2021,2022.0
SAMN25004485,2021,2022.0
SAMN25226678,2021,2021.0
SAMN25226641,2021,2022.0
SAMN27020195,2022,2022.0
SAMN26308501,2020-09-22,2020.72
SAMN26305087,2020-07-27,2020.57
SAMN26308893,2020-09-29,2020.74
SAMN26308792,2019-10-24,2019.81
SAMN26304707,2020-07-13,2020.53
SAMN26308877,2020-07-19,2020.55
SAMN26305030,2020-04-23,2020.31
SAMN26304562,2020-09-20,2020.72
SAMN26308476,2020-01-08,2020.02
SAMN26304760,2020-03-09,2020.19
SAMN26304604,2020-09-22,2020.72
SAMN26304603,2020-01-24,2020.06
SAMN26304761,2020-08-24,2020.64
SAMN26304399,2019-10-04,2019.76
SAMN26308786,2019-10-04,2019.76
SAMN26304756,2020-01-08,2020.02
SAMN26304385,2020-02-19,2020.13
SAMN26308834,2020-02-12,2020.11
SAMN26308818,2019-12-31,2020.0
SAMN26304412,2020-02-07,2020.1
SAMN26304558,2019-10-31,2019.83
SAMN26305029,2019-11-04,2019.84
SAMN26304559,2019-11-10,2019.86
SAMN26304414,2020-04-14,2020.28
SAMN26305100,2020-03-03,2020.17
SAMN26308891,2020-09-14,2020.7
SAMN26304501,2020-03-10,2020.19
SAMN26308494,2020-08-21,2020.64
SAMN26305071,2020-03-09,2020.19
SAMN26308793,2019-10-29,2019.82
SAMN26308874,2020-07-16,2020.54
SAMN26304325,2019-10-09,2019.77
SAMN26308487,2020-06-09,2020.44
SAMN26308475,2019-12-10,2019.94
SAMN26304704,2019-12-10,2019.94
SAMN26304759,2020-03-05,2020.17
SAMN26308797,2019-11-14,2019.87
SAMN26308802,2019-11-25,2019.9
SAMN26308483,2020-05-15,2020.37
SAMN26305032,2020-07-17,2020.54
SAMN26308878,2020-07-22,2020.55
SAMN26308805,2019-11-27,2019.9
SAMN26308889,2020-09-12,2020.7
SAMN26305098,2020-01-21,2020.05
SAMN26304933,2020-07-27,2020.57
SAMN26304503,2020-03-27,2020.23
SAMN26308892,2020-09-25,2020.73
SAMN26304623,2020-01-31,2020.08
SAMN26304622,2019-11-20,2019.88
SAMN26308871,2020-07-04,2020.51
SAMN26304504,2020-08-05,2020.59
SAMN26309425,2020-09-09,2020.69
SAMN26304479,2020-07-08,2020.52
SAMN26308819,2020-01-02,2020.0
SAMN26308861,2020-05-21,2020.39
SAMN26308500,2020-09-09,2020.69
SAMN26304706,2020-06-15,2020.45
SAMN26308788,2019-10-08,2019.77
SAMN26309423,2019-12-10,2019.94
SAMN26308862,2020-06-04,2020.42
SAMN26304560,2019-11-14,2019.87
SAMN26304540,2020-07-30,2020.58
SAMN26304411,2019-12-30,2019.99
SAMN26305070,2019-11-26,2019.9
SAMN26308849,2020-03-26,2020.23
SAMN26304498,2019-12-04,2019.92
SAMN26308812,2019-12-12,2019.95
SAMN26304705,2020-04-28,2020.32
SAMN26308474,2019-11-14,2019.87
SAMN26304499,2020-01-06,2020.01
SAMN26304536,2020-07-27,2020.57
SAMN26304561,2020-02-23,2020.14
SAMN26308482,2020-05-05,2020.34
SAMN26308879,2020-03-12,2020.19
SAMN26308492,2020-08-07,2020.6
SAMN26304569,2020-08-17,2020.63
SAMN26305182,2020-03-18,2020.21
SAMN26304415,2020-06-22,2020.47
SAMN26305099,2020-01-27,2020.07
SAMN26305097,2019-12-10,2019.94
SAMN26304469,2020-04-20,2020.3
SAMN26309424,2020-08-10,2020.61
SAMN26308890,2020-09-14,2020.7
SAMN26304885,2019-11-05,2019.84
SAMN26304907,2020-04-07,2020.27
SAMN26304413,2020-03-11,2020.19
SAMN26308472,2019-11-10,2019.86
SAMN26305033,2020-08-17,2020.63
SAMN26308847,2020-03-18,2020.21
SAMN26308851,2020-04-14,2020.28
SAMN26304506,2020-09-10,2020.69
SAMN26308499,2020-09-08,2020.69
SAMN26304755,2019-10-22,2019.81
SAMN29599259,2022,2023.0
SAMN29440615,2022,2022.0
SAMN29767728,2022,2023.0
SAMN29869135,2022,2022.0
SAMN30109982,2022,2023.0
SAMN30370668,2022,2023.0
SAMN27404457,2018-03-27,2018.23
SAMN27404455,2018-04-03,2018.25
SAMN27404459,2019-06-01,2019.41
SAMN27404449,2019-04-05,2019.26
SAMN27404448,2016-07-21,2016.55
SAMN27404441,2016-10-11,2016.78
SAMN27404431,2019-05-28,2019.4
SAMN27404426,2017-04-27,2017.32
SAMN27404411,2018-06-13,2018.45
SAMN27404417,2019-08-25,2019.65
SAMN27404401,2017-04-24,2017.31
SAMN27404393,2018-04-18,2018.29
SAMN27404392,2018-07-28,2018.57
SAMN27404391,2019-09-02,2019.67
SAMN27404382,2017-11-09,2017.85
SAMN27404383,2018-08-16,2018.62
SAMN27404372,2019-09-02,2019.67
SAMN27404354,2016-09-30,2016.75
SAMN27404345,2017-04-17,2017.29
SAMN27404335,2017-12-07,2017.93
SAMN27404327,2019-04-24,2019.31
SAMN27404323,2018-08-15,2018.62
SAMN27404321,2017-09-18,2017.71
SAMN27404318,2019-09-21,2019.72
SAMN28174028,2017-02-03,2017.09
SAMN30965858,2022-08-19,2022.63
SAMN26308481,2020-04-25,2020.31
SAMN26308886,2020-08-26,2020.65
SAMN26308799,2019-11-16,2019.87
SAMN26304338,2020-03-03,2020.17
SAMN26308485,2020-06-05,2020.43
SAMN26304339,2020-05-29,2020.41
SAMN26308841,2020-03-02,2020.17
SAMN26304505,2020-09-02,2020.67
SAMN26304758,2020-01-27,2020.07
SAMN26308480,2020-04-02,2020.25
SAMN26308859,2020-05-13,2020.36
SAMN26308852,2020-04-20,2020.3
SAMN26304932,2020-06-19,2020.46
SAMN26305019,2020-05-20,2020.38
SAMN26308488,2020-06-30,2020.49
SAMN26308785,2019-10-02,2019.75
SAMN26308865,2020-06-13,2020.45
SAMN26308807,2019-12-09,2019.94
SAMN11335376,2017/2018,2017.0
SAMN20203224,2021,2022.0
SAMN15226391,2019,2020.0
SAMN11319183,2014,2014.06
SAMN11319341,2013,2014.0
SAMN11319335,2013,2014.0
SAMN11319300,2014,2014.0
SAMN11319299,2014,2015.0
SAMN11319305,2012,2012.08
SAMN11319182,2011,2011.0
SAMN11319316,2013,2013.0
SAMN11319313,2013,2014.0
SAMN11319168,2011,2012.0
SAMN11319282,2011,2012.0
SAMN11319321,2013,2014.0
SAMN11319169,2013,2014.0
SAMN11319166,2010,2011.0
SAMN11319189,2010,2010.0
SAMN11319386,2011,2011.0
SAMN11319389,2011,2011.0
SAMN09405759,1998,1998.0
SAMN09405757,1999,2000.0
SAMN09405758,1999,1999.0
SAMN13423026,2011,2012.0
SAMN13423024,2011,2012.0
SAMN13423021,2011,2012.0
SAMN13423020,2011,2012.0
SAMN13422994,2011,2012.0
SAMN13422992,2011,2011.0
SAMN13082237,2010,2010.63
SAMN13082305,2011,2012.0
SAMN13082301,2010,2011.0
SAMN13082236,2010,2011.0
SAMN13082282,2013,2013.0
SAMN13082281,2013,2013.0
SAMN13082280,2013,2013.0
SAMN13082279,2013,2014.0
SAMN13082267,2012,2013.0
SAMN13082265,2012,2012.0
SAMN13082250,2011,2012.0
SAMN13082248,2011,2011.94
SAMN13082416,2013,2014.0
SAMN13082415,2013,2013.05
SAMN13082414,2013,2014.0
SAMN13082413,2013,2013.0
SAMN13082409,2012,2012.0
SAMN13082408,2012,2013.0
SAMN13082402,2012,2012.0
SAMN13082400,2012,2012.0
SAMN13082392,2011,2012.0
SAMN13082245,2011,2012.0
SAMN13082382,2011,2011.0
SAMN13082381,2010,2011.0
SAMN13082380,2010,2011.0
SAMN13082378,2010,2011.0
SAMN13082374,2009,2010.0
SAMN13082371,2009,2010.0
SAMN13082370,2009,2009.0
SAMN13082369,2013,2013.0
SAMN13082243,2011,2011.0
SAMN13082367,2013,2013.0
SAMN13082359,2011,2012.0
SAMN13082242,2011,2012.0
SAMN13082356,2010,2010.0
SAMN13082351,2013,2013.0
SAMN13082348,2013,2013.0
SAMN13082347,2013,2014.0
SAMN13082345,2013,2014.0
SAMN13082328,2012,2013.0
SAMN13082327,2012,2012.0
SAMN13082326,2012,2013.0
SAMN13082238,2010,2010.79
SAMN13082314,2011,2012.0
SAMN06680403,2017,2018.0
SAMN06754736,2016,2016.0
SAMN06754735,2016,2016.4
SAMN07325904,2016,2017.0
SAMN07332517,2017,2017.57
SAMN07450853,2017,2018.0
SAMN07450858,2017,2017.0
SAMN07662565,2017,2017.0
SAMN07775517,2017,2017.0
SAMN15868351,2017,2017.0
SAMN15868897,2016,2017.0
SAMN15868722,2017,2018.0
SAMN15868530,2016,2016.0
